	Associated.Gene.Name	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj	Associated.Gene.Name	Gene.Biotype	Chromosome.Name	cytokines	receptors	TFs	hist_mod
ENSMUSG00000060534	Dcc	8.862655059	237.6447606	0.03246853	0.000136626	-12.8374769	9.75E-09	5.94E-06	Dcc	protein_coding	18	FALSE	TRUE	FALSE	FALSE
ENSMUSG00000026131	Dst	1222.670395	7682.106612	973.3588219	0.126704675	-2.980458338	1.61E-08	8.45E-06	Dst	protein_coding	1	FALSE	FALSE	FALSE	FALSE
ENSMUSG00000034391	Fbxo15	1712.350189	11052.05243	1351.870453	0.122318498	-3.031285499	8.55E-10	9.12E-07	Fbxo15	protein_coding	18	FALSE	FALSE	FALSE	FALSE
ENSMUSG00000036585	Fgf1	7.224049447	194.1464412	0.009500994	0.0000489	-14.31870735	1.15E-08	0.00000672	Fgf1	protein_coding	18	TRUE	FALSE	FALSE	FALSE
ENSMUSG00000027208	Fgf7	2.667316768	66.06495707	0.2203903	0.003335964	-8.227680683	0.0000044	0.000772965	Fgf7	protein_coding	2	FALSE	FALSE	FALSE	FALSE
ENSMUSG00000072905	Gm2016	307.7397419	8191.825046	3.441712636	0.00042014	-11.21684254	2.69E-12	6.70E-09	Gm2016	protein_coding	12	FALSE	FALSE	FALSE	FALSE
ENSMUSG00000079034	Gm8300	378.4224044	10080.56976	3.953559263	0.000392196	-11.31613751	1.27E-08	7.16E-06	Gm8300	protein_coding	12	FALSE	FALSE	FALSE	FALSE
ENSMUSG00000010608	Rbm25	4248.86212	15723.54677	3805.979554	0.242056046	-2.046586968	1.54E-05	0.002240768	Rbm25	protein_coding	12	FALSE	FALSE	FALSE	FALSE
ENSMUSG00000070034	Sp110	13.20779741	347.8955251	0.290025462	0.000833657	-10.22825885	1.18E-10	2.03E-07	Sp110	protein_coding	1	FALSE	FALSE	TRUE	FALSE
ENSMUSG00000096284	Tcstv1	16.00079128	421.602053	0.346005739	0.000820693	-10.25087021	2.11E-12	5.72E-09	Tcstv1	protein_coding	13	FALSE	FALSE	FALSE	FALSE
ENSMUSG00000095821	Tcstv3	20.32769955	532.0065757	0.578690294	0.00108775	-9.844436916	8.77E-08	3.23E-05	Tcstv3	protein_coding	13	FALSE	FALSE	FALSE	FALSE
ENSMUSG00000057321	Usp17ld	34.95401169	930.4973058	0.389182795	0.000418252	-11.22333832	0.000000161	0.0000567	Usp17ld	protein_coding	7	FALSE	FALSE	FALSE	FALSE
ENSMUSG00000070902	Zfp352	71.12488126	1911.981776	0.074264283	3.88E-05	-14.65204073	3.83E-08	1.66E-05	Zfp352	protein_coding	4	FALSE	FALSE	FALSE	FALSE
ENSMUSG00000095339	Zscan4b	107.6112001	2884.300111	0.440750878	0.00015281	-12.67597022	0.00000247	0.000497956	Zscan4b	protein_coding	7	FALSE	FALSE	FALSE	FALSE
ENSMUSG00000054272	Zscan4c	680.7459616	18206.08828	4.329240479	0.000237791	-12.03801942	6.17E-09	0.00000419	Zscan4c	protein_coding	7	FALSE	FALSE	TRUE	FALSE
ENSMUSG00000090714	Zscan4d	504.768733	13542.49445	1.558266833	0.000115065	-13.08526358	0.000000214	0.0000735	Zscan4d	protein_coding	7	FALSE	FALSE	TRUE	FALSE
ENSMUSG00000095936	Zscan4e	54.39767019	1459.963322	0.147767838	0.000101213	-13.27031221	3.41E-09	0.00000274	Zscan4e	protein_coding	7	FALSE	FALSE	FALSE	FALSE
ENSMUSG00000070828	Zscan4f	175.4103217	4692.001346	1.085755883	0.000231406	-12.07728794	2.72E-08	0.0000123	Zscan4f	protein_coding	7	FALSE	FALSE	TRUE	FALSE
ENSMUSG00000034552	Zswim2	4.734528923	127.1153498	0.011058645	0.000087	-13.48867598	1.22E-10	0.000000203	Zswim2	protein_coding	2	FALSE	FALSE	FALSE	FALSE
