,Associated Gene Name
ENSMUSG00000024659,Anxa1
ENSMUSG00000023043,Krt18
ENSMUSG00000032366,Tpm1
ENSMUSG00000003153,Slc2a3
ENSMUSG00000032085,Tagln
ENSMUSG00000072235,Tuba1a
ENSMUSG00000050071,Bex1
ENSMUSG00000032231,Anxa2
ENSMUSG00000001473,Tubb6
ENSMUSG00000029761,Cald1
ENSMUSG00000015932,Dstn
ENSMUSG00000031972,Acta1
ENSMUSG00000049382,Krt8
ENSMUSG00000042712,Wbp5
ENSMUSG00000033306,Lpp
ENSMUSG00000040152,Thbs1
ENSMUSG00000022048,Dpysl2
ENSMUSG00000028645,Slc2a1
ENSMUSG00000029484,Anxa3
ENSMUSG00000028480,Glipr2
ENSMUSG00000036030,Prtg
ENSMUSG00000022443,Myh9
ENSMUSG00000015143,Actn1
ENSMUSG00000004665,Cnn2
ENSMUSG00000031207,Msn
ENSMUSG00000069833,Ahnak
ENSMUSG00000068220,Lgals1
ENSMUSG00000001025,S100a6
ENSMUSG00000038872,Zfhx3
ENSMUSG00000092060,Bend4
ENSMUSG00000002265,Peg3
ENSMUSG00000023906,Cldn6
ENSMUSG00000028173,Wls
ENSMUSG00000027907,S100a11
ENSMUSG00000033149,Phldb2
ENSMUSG00000013076,Amotl1
ENSMUSG00000020423,Btg2
ENSMUSG00000041959,S100a10
ENSMUSG00000035783,Acta2
ENSMUSG00000021701,Plk2
ENSMUSG00000028128,F3
ENSMUSG00000032060,Cryab
ENSMUSG00000055320,Tead1
ENSMUSG00000000303,Cdh1
ENSMUSG00000030770,Parva
ENSMUSG00000020644,Id2
ENSMUSG00000028270,Gbp2
ENSMUSG00000020911,Krt19
ENSMUSG00000018217,Pmp22
ENSMUSG00000038156,Spon1
ENSMUSG00000026879,Gsn
ENSMUSG00000023039,Krt7
ENSMUSG00000001349,Cnn1
ENSMUSG00000021057,Akap5
ENSMUSG00000021959,Lats2
ENSMUSG00000025950,Idh1
ENSMUSG00000036940,Lsd1
ENSMUSG00000055148,Klf2
ENSMUSG00000026380,Tfcp2l1
ENSMUSG00000024406,Pou5f1
ENSMUSG00000003032,Klf4
ENSMUSG00000025056,Nr0b1
ENSMUSG00000021196,Pfkp
ENSMUSG00000041359,Tcl1
ENSMUSG00000050917,Fgf4
ENSMUSG00000031665,Sall1
ENSMUSG00000021255,Esrrb
ENSMUSG00000034391,Fbxo15
ENSMUSG00000074637,Sox2
ENSMUSG00000006494,Pdk1
ENSMUSG00000030117,Gdf3
ENSMUSG00000012396,Nanog
ENSMUSG00000021953,Tdh
ENSMUSG00000047751,Utf1
ENSMUSG00000046323,Stella
ENSMUSG00000040943,Tet2
ENSMUSG00000000730,Dnmt3l
ENSMUSG00000013089,Etv5
ENSMUSG00000029304,Spp1
ENSMUSG00000020661,Dnmt3a
ENSMUSG00000051176,Rex1
ENSMUSG00000027547,Sall4
ENSMUSG00000020407,Upp1
ENSMUSG00000038518,Jarid2
ENSMUSG00000047146,Tet1
ENSMUSG00000032494,Tdgf1
